path_id,path_type,distance_m,epoch_days,subsidence_mm,source,digitised_by
S,transverse,-130.2,570,-137,10.18311/jmmf/2022/32099,adarsh
S,transverse,-120.1,570,-205,10.18311/jmmf/2022/32099,adarsh
S,transverse,-109.7,570,-238,10.18311/jmmf/2022/32099,adarsh
S,transverse,-100.1,570,-314,10.18311/jmmf/2022/32099,adarsh
S,transverse,-90.0,570,-377,10.18311/jmmf/2022/32099,adarsh
S,transverse,-79.9,570,-469,10.18311/jmmf/2022/32099,adarsh
S,transverse,-70.0,570,-613,10.18311/jmmf/2022/32099,adarsh
S,transverse,-59.9,570,-669,10.18311/jmmf/2022/32099,adarsh
S,transverse,-50.0,570,-777,10.18311/jmmf/2022/32099,adarsh
S,transverse,-41.0,570,-1039,10.18311/jmmf/2022/32099,adarsh
S,transverse,-29.8,570,-969,10.18311/jmmf/2022/32099,adarsh
S,transverse,-19.9,570,-1087,10.18311/jmmf/2022/32099,adarsh
S,transverse,-9.9,570,-1154,10.18311/jmmf/2022/32099,adarsh
S,transverse,-0.2,570,-1232,10.18311/jmmf/2022/32099,adarsh
S,transverse,9.9,570,-1206,10.18311/jmmf/2022/32099,adarsh
S,transverse,20.1,570,-1211,10.18311/jmmf/2022/32099,adarsh
S,transverse,30.0,570,-1163,10.18311/jmmf/2022/32099,adarsh
S,transverse,40.0,570,-1106,10.18311/jmmf/2022/32099,adarsh
S,transverse,50.2,570,-1033,10.18311/jmmf/2022/32099,adarsh
S,transverse,60.4,570,-931,10.18311/jmmf/2022/32099,adarsh
S,transverse,70.1,570,-909,10.18311/jmmf/2022/32099,adarsh
S,transverse,80.1,570,-757,10.18311/jmmf/2022/32099,adarsh
S,transverse,90.0,570,-614,10.18311/jmmf/2022/32099,adarsh
S,transverse,100.0,570,-525,10.18311/jmmf/2022/32099,adarsh
S,transverse,110.0,570,-468,10.18311/jmmf/2022/32099,adarsh
S,transverse,120.0,570,-351,10.18311/jmmf/2022/32099,adarsh
S,transverse,129.9,570,-300,10.18311/jmmf/2022/32099,adarsh
S,transverse,140.0,570,-270,10.18311/jmmf/2022/32099,adarsh
S,transverse,150.1,570,-229,10.18311/jmmf/2022/32099,adarsh
S,transverse,160.0,570,-139,10.18311/jmmf/2022/32099,adarsh
S,transverse,170.0,570,-177,10.18311/jmmf/2022/32099,adarsh
S,transverse,180.0,570,-232,10.18311/jmmf/2022/32099,adarsh
S,transverse,190.0,570,-132,10.18311/jmmf/2022/32099,adarsh
S,transverse,200.0,570,-108,10.18311/jmmf/2022/32099,adarsh
S,transverse,-260.1,600,-10,10.18311/jmmf/2022/32099,adarsh
S,transverse,-250.0,600,-11,10.18311/jmmf/2022/32099,adarsh
S,transverse,-240.0,600,-28,10.18311/jmmf/2022/32099,adarsh
